MAG	recipient	outcome	transplant_sample	transplant_mean_cov_Q2Q3
DB_MAG_00116	R04	ambiguous	DB_D_13	21.668436991700002
DB_MAG_00116	R05	colonization	DB_D_07	17.1959396963
DB_MAG_00117	R01	no_colonization	DB_D_08	38.628346030900005
DB_MAG_00117	R02	no_colonization	DB_D_11	11.9043327974
DB_MAG_00117	R03	colonization	DB_D_14	8.6391768027
DB_MAG_00117	R04	ambiguous	DB_D_13	11.6264833466
DB_MAG_00117	R05	colonization	DB_D_07	32.236256289699995
DB_MAG_00119	R01	ambiguous	DB_D_08	13.689029908599998
DB_MAG_00119	R02	ambiguous	DB_D_11	5.93764737717
DB_MAG_00119	R03	ambiguous	DB_D_14	6.28064762957
DB_MAG_00119	R04	ambiguous	DB_D_13	14.366744604600001
DB_MAG_00119	R05	colonization	DB_D_07	11.8590437567
DB_MAG_00120	R01	ambiguous	DB_D_08	12.3189570734
DB_MAG_00120	R02	ambiguous	DB_D_11	18.6780336518
DB_MAG_00120	R03	ambiguous	DB_D_14	13.292752161600001
DB_MAG_00120	R04	ambiguous	DB_D_13	7.31736032286
DB_MAG_00120	R05	colonization	DB_D_07	7.96714789375
DB_MAG_00122	R01	no_colonization	DB_D_08	42.901672864
DB_MAG_00122	R02	no_colonization	DB_D_11	80.1538727388
DB_MAG_00122	R03	colonization	DB_D_14	182.75415218400002
DB_MAG_00122	R04	no_colonization	DB_D_13	4.18902065724
DB_MAG_00122	R05	colonization	DB_D_07	57.2046687563
DB_MAG_00125	R01	ambiguous	DB_D_08	22.1055170187
DB_MAG_00125	R02	no_colonization	DB_D_11	25.068745065799998
DB_MAG_00125	R03	ambiguous	DB_D_14	22.397910696700002
DB_MAG_00125	R04	ambiguous	DB_D_13	11.107341098800001
DB_MAG_00125	R05	colonization	DB_D_07	36.2600650954
DB_MAG_00129	R01	no_colonization	DB_D_08	19.8458999154
DB_MAG_00129	R02	no_colonization	DB_D_11	10.8033988679
DB_MAG_00129	R03	colonization	DB_D_14	22.642787778200002
DB_MAG_00129	R04	colonization	DB_D_13	22.1668320777
DB_MAG_00129	R05	no_colonization	DB_D_07	41.4374319117
DB_MAG_00130	R01	no_colonization	DB_D_08	1.86797203099
DB_MAG_00130	R02	no_colonization	DB_D_11	22.1516109258
DB_MAG_00130	R03	ambiguous	DB_D_14	0.042871358513599994
DB_MAG_00130	R04	ambiguous	DB_D_13	0.253604107969
DB_MAG_00130	R05	no_colonization	DB_D_07	19.367683802000002
DB_MAG_00131	R01	ambiguous	DB_D_08	0.377952178962
DB_MAG_00131	R02	no_colonization	DB_D_11	2.7850279309099997
DB_MAG_00131	R03	ambiguous	DB_D_14	5.41098345171
DB_MAG_00131	R04	colonization	DB_D_13	4.418876503469999
DB_MAG_00131	R05	ambiguous	DB_D_07	8.831119116150001
DB_MAG_00132	R01	ambiguous	DB_D_08	14.6588904797
